Unnamed: 0,Situation,emotion,empathetic_dialogues,labels,Unnamed: 5,Unnamed: 6
2546, I ran into my old school mate outside the country. I could not believe my eyes, we were in a different country,surprised,"Customer :How believable do you think this is when you run into your old school mate outside the country 
Agent :",i think that would be very unbelievable to run into someone out the country especially from school. Has that ever happened to you?,
2547, I ran into my old school mate outside the country. I could not believe my eyes, we were in a different country,surprised,"Customer :Of course yes, that is what i just said happened to me. It really caught me unaware 
Agent :",wow that is awesome where you good friends with them or you just saw them in the halls alot?,
2548, I ran into my old school mate outside the country. I could not believe my eyes, we were in a different country,surprised,"Customer :i think that would be very unbelievable to run into someone out the country especially from school. Has that ever happened to you?
Agent :","Of course yes, that is what i just said happened to me. It really caught me unaware ",
64217,My dog died right after my cat died. ,(,sad,"Customer :My puppy died right after my cat.
Agent :",Sorry to hear that. You must be going through a tough time. ,
64218,My dog died right after my cat died. ,(,sad,"Customer :It is horrible, i dont know what to do.
Agent :","You should try engaging in a hobby to divert your mind, and when you're ready, adopt a puppy from your local shelter. ",
64219,My dog died right after my cat died. ,(,sad,"Customer :Sorry to hear that. You must be going through a tough time. 
Agent :","It is horrible, i dont know what to do.",
49559,"I heard this strange crash noise in the garage. I thought it might have been an intruder, but it was a raccoon! ",afraid,"Customer :Oh that is pretty terrifying! What caused it?
Agent :","I thought it could have been an intruder or something, but it was a raccoon instead!",,
37603,Riding coasters next week :/,afraid,"Customer :That's what everyone says but they're scary.  Maybe if I try one I will like them!
Agent :",DEfinitely. It's an adrenalin rush,,
24000,I am a unhappy that  there is nothing I could do to help,afraid,"Customer :I had very little and a neighbour was asking me to help him pay his rent
Agent :",That's a tough situation. I hope you are able to make the best move for you.,,
7126,"Wasn't able to register for one of the classes I need to be on track to graduate in my last year of college. Have to contact the school and see if they'll be able to make an exception and squeeze me into a full class, or I don't know what I'll do.",afraid,"Customer :Wasn't able to register for one of the classes I need to be on track to graduate in my last year of college. Have to contact the school and see if they'll be able to make an exception and squeeze me into a full class, or I don't know what I'll do.
Agent :","That is scary, I was in that position before, I do not know why they make it so difficult",,
455,I got pulled over and almost got a ticket.,afraid,"Customer :He said I was speeding but I was really nervous.
Agent :",Did you end up getting a ticket?,,
64096,I was so scared of my uncle. He is so mad at me for not graduating.,afraid,"Customer :You are right but my unle is a simple man and he gave me a warning about me not graduating.
Agent :","I see. Well, what's most important is your reaction and feelings around the situation, and what you plan to do about it. The only one that can affect the outcome is you. It's disappointing to deal with your uncle's negativity, but you can't let it distract you from moving in a positive direction.",,
14444,I am scared that I might not have enough money for food next month,afraid,"Customer :oh that sucks, i know how that feels, its why i got an extra job online
Agent :",Thanks that might be an option.,,
45848,I was walking my dog and a stray dog ran up to us and started barking. Next thing I know he was trying to fight with my dog. ,afraid,"Customer :I was walking my dog and a stray dog ran up to us and started barking. Next thing I know he was trying to fight with my dog.
Agent :",That's so scary! I hope your dog is OK.,,
49438,"Due to recent debt that I have accumulated through credit cards, my credit score has seen a significant decline. I am very concerned it might impact my credit trustworthiness",afraid,"Customer :To be honest, i have invested considerable amount in cryptocurrency market. I am hopeful for them to lift me out of financial burdensome
Agent :",That is usually pretty unlikely but I'm rooting for you.,,
51008,"I was walking home one night and I saw some guy standing next to a wall, luckily he didn't have any bad intentions. I was freaked out",afraid,"Customer :I was walking home one night and I saw some guy standing next to a wall, luckily he didn't have any bad intentions. I was freaked out
Agent :","what time was it? please becareful with these kinds of things, you were lucky and i am glad nothing happend, but people don't realise how dangerous it is at night, why were you out so late?",,
14252,A robber held me at gun point ,afraid,"Customer :I was so scared, he demanded I give him my phone and wallet.
Agent :",So what did you do ?,,
36983,Our home was broken into when we moved in and I felt this way.,afraid,"Customer :Oh no!  I know how violated that can make you feel - did they ever get caught?
Agent :","They never did, which made it even worse. I wanted to be able to put a face with who did it.",,
624,"When I was little, I was afraid of the dark.",afraid,"Customer :were you afraid of the dark?
Agent :",Yes. I had a nightlight to help.,,
48018,i was scared to walk home the other night,afraid,"Customer :i was scared to walk home the other night
Agent :",Why?,,
23770,Once I studied really hard for a physics quiz and then I tried to set an alarm to wake up for it. Instead I slept through it and thought I was gonna get a zero on the quiz.,afraid,"Customer :Yeah I lied to the professor and he let me do it later that day.
Agent :","cool,, thats great",,
51239,"I'm scared of the dark, but I have to walk home from work in the dark. It is really nerve wraking. ",afraid,"Customer :I'm scared of the dark, but I have to walk home from work in the dark.
Agent :",Are you always alone?,,
4601,I was home alone and someone was in the carport looking in a window,afraid,"Customer :I was home alone and someone was in the carport looking in a window
Agent :",That sounds kind of suspicious.,,
20768,i was scared to walk home the other day,afraid,"Customer :we live on a big plot of wooded land
Agent :",How come no one would walk with you. I would be afraid too.,,
8069,I was wondering around a abandon building once. I started to hear banging and crawling in the walls. I couldn't move a inch.,afraid,"Customer :So i was exploring some abandon buildings one day.
Agent :",Did you find anything interesting inside any of the buildings?,,
45375,I keep hearing noises outside my window. It sounds like scratching.,afraid,"Customer :Should you call the police or something?  I hate being home alone for this exact reason.
Agent :","I don't know, it's just scratching so maybe it's just a raccoon.",,
39352,We had some storming last weekend. It was pretty scary,afraid,"Customer :We had some storming last weekend. It was pretty scary
Agent :",Oh wow that does sound scary! Are you okay? Any damage to your home?,,
15228,I was nervous when it was raining real bad last night. I hate storms,afraid,"Customer :I was nervous last night during a storm. I hate when it rains hard
Agent :","It can be scary, my sister's in-laws' house got struck by lightning recently.",,
38106,There was a loud sound from the bedroom.,afraid,"Customer :It was just mumbling ""get out of my house"" I was so terrified! 
Agent :",I thought the voice was telling you to feed the pigs again.,,
5083,I am afraid of who will move in next door to me.,afraid,"Customer :no. I never have decent neighbors so I'm expecting the worst.
Agent :","Ah, well at least you can only meet or exceed expectations!",,
32437,"Last week, when I was going to the office, I stopped by a cafe to get a coffee. There I saw a young man watching angrily at me. He even has a gun in his hands. I was very much frightened.",afraid,"Customer :Last week I got very much frightened
Agent :",Why were you feeling that way,,
46434,My hamster got out of its cage and I haven't been able to find him. I hope he's ok and hasn't gotten hurt,afraid,"Customer :I'm sorry.  I hope you find it.
Agent :",So do I. I hope he's not hurt somewhere,,
28475,I was camping last weekend in a tent and I heard some animal walking outside our night one night. When I woke up we seen these large footprints that were nothing like any animal we've seen before.,afraid,"Customer :I was camping last weekend and I heard an animal walking around outside out tent in the middle of the night.
Agent :",Holy crap! Did you see what it was?,,
4602,I was home alone and someone was in the carport looking in a window,afraid,"Customer :I felt like I was going into panic mode.
Agent :",Oh no. Did anything happen?,,
8070,I was wondering around a abandon building once. I started to hear banging and crawling in the walls. I couldn't move a inch.,afraid,"Customer :Nah but something i feel found me. Started hearing banging on the walls and crawling in the other rooms.
Agent :","Oh man, I would have freaked out! What did you do?",,
16322,"I have pain in my stomach for about a week now. By reading what is on the internet, I am very worried.",afraid,"Customer :What is going on?  Have you seen the dr?
Agent :",I have seen a doctor today. He give me lab tests to do but I am afraid of the results.,,
9833,"When a tornado warning came on the screen, I was scared. I thought it was coming for us",afraid,"Customer :I have, they are not fun
Agent :",People tend to say that...which makes me more curious and wanting to be in one haha,,
59361,last night I heard a windows shatter in my house and i was home alone. ,afraid,"Customer :Oh man, I hope everything is ok , and it was something mildly annoying like a tree limb.
Agent :",Well i snuck through my house and come to find out my dog had knocked a glass of the counter somehow,,
37203,Roller coaster riding next week,afraid,"Customer :We're going to the amusement park!  I've never rode a coaster before!  Kinda scary~!
Agent :","oh it sounds fun. You should try it once. You will enjoy it. You will be scared for the first time, but you will be okay",,
6315,"Yesterday, I was crossing the street and the person in front of me was hit by car which didn't stop at the red light",afraid,"Customer :O no! That's a terrible thing to have happen or see.
Agent :","Now, I am so scared to cross streets. I am always paying attention.",,
55191,"My nephew was racing around our house, and fell head first into the corner of a bookcase.  There was a ton of blood and I had to take him to the ER.  Luckily, it was better than it looked and it wasn't a huge deal.",afraid,"Customer :My nephew was racing around our house, like he has a million times before, and someone took a bad fall into the corner of a bookcase.  I had to take him to the ER.
Agent :",Ouch! Kids have a tendency to learn things the hard way. Was he okay?,,
31000,someone trying to harm me,afraid,"Customer :yesterday a stranger tried to rob me 
Agent :",Oh wow! Are you okay?,,
56934,My stepmother just passed away and I am concerned about my dad,afraid,"Customer :Well My stepmom just died last week and I am concerned for him greatly 
Agent :","I would be too. Going through something like that can take a toll on anyone, and makes it hard to cope with everyday life. I hope he gets the help he needs.",,
36072,i was scared to walk home alone yesterday,afraid,"Customer :i was scared to walk home alone yesterday
Agent :",That sounds upseting. Why were you scared?,,
13957,Afraid of my dog dying,afraid,"Customer :My dog is 6 years old.  He's my little boy.  I don't know what I would do if I lost him.
Agent :",I feel the same about my dog. They really are like family members.,,
45837,I lost the money pouch for the deposit at my job the other day.,afraid,"Customer :There was nothing I could do.  I told my boss and he kicked it up to the regional bosses.  I am suspended and just have to wait to see if I can keep my job :(
Agent :","I sure hope you get to keep your job.  I know it was a big accident, but it was an accident.",,
28046,I'm scared because both of my parents will not be with me too much longer.,afraid,"Customer :I'm getting scared because both of my parents will not be with me too much longer. They've both got dementia.
Agent :",Thats terrible to hear... :( When did you find that out? ,,
34842,i saw a man kicking his dog the otherday,angry,"Customer :That is horrible
Agent :",i wanted to say something but it happened so quick and the dude was jacked so i let it go,,
45304,i am pissed that someone put a dent in my door,angry,"Customer :no they didnt leave anything except for the dent :(
Agent :","Ugh, that should be illegal...wait a minute...I think it is illegal.  So frustrating.",,
5444,I recently discovered that my wife of 15 years is cheating on me.  She has been seeing my best friend of 20 years.  I am devastated.,angry,"Customer :My wife has been cheating on me, worst yet is that it was with my best friend of 20 years.
Agent :",Wow sounds like what i just seen on the news in NC... im so sorry !! ,,
19350,"Before my birthday, my boyfriend tried to get me to pick menu items that everyone could eat--including him. This meant I picked place that served only chicken because it's the only meat my boyfriend can have due to his digestive/health issue. Of course, I got anxious and upset because the place I picked was serving healthy food--my preference--but the serving sizes were missing and I couldn't tell what ingredients were in what; this lead to us arguing.",angry,"Customer :Ah, I see. Well I hope it at least got worked out for you guys
Agent :",It did. I just wish I had handled it better and that he could have been more patient. ,,
64299,my room mate will not clean anything. It is so ridiculous.,angry,"Customer :my roommate will not clean anything.
Agent :","Oh my, sounds like you have the dreaded roommate situation on your hands. Have you tried talking to him? ",,
12092,I wsa really upse when I found out my co-worker was fired,angry,"Customer :Was it their fault?
Agent :",Kind of.  They maxxed out on the amount of points they had from lates and absences,,
11004,I am so mad at the republicans.,angry,"Customer :Do you think they are messing up the country?
Agent :",It is mostly Trump.I am mad because they will not stand up to Trump.,,
32726,i cant stand when i let someone out in traffic and i dont get a wave or anything. it really drives me crazy,angry,"Customer :Do you ever road rage them?
Agent :","from time to time i do, traffic out here is horrible",,
2920,My cat vomited on my favorite shoes and I was so mad about it.,angry,"Customer :Yea they seem to know what you care about and try and ruin it.
Agent :","That is true, especially when you don't give them attention",,
10024,my neighbor's cat keeps pooping on my balcony,angry,"Customer :Thaqt is too bad.  I like cats, but not the mean ones, only the sweet ones.  What does the cat do that is so bad?
Agent :",not this one,,
7745,My manager keep lying about a promotion that he promised.,angry,"Customer :My manager keep lying about a promotion that he promised.
Agent :",I am sorry to hear that.  How long has he been promising you the promotion?,,
27775,"One of our friends got a call from the school that her 11 year old wasn't at school, and it turned out to be a mistake. Glad, but upset at the false alarm.",angry,"Customer :Yea that wouldn't of turn out great.
Agent :","Yeah, it really scared us for a little bit.",,
7374,when i found out my wife cheated on me ,angry,"Customer :I found out my wife cheated on me recently. 
Agent :",Oh my god. You shouldn't just get over it- it is not right. Betrayal is something no one should do to another.,,
38465,I have been without water for two days.,angry,"Customer :Thats the thing. I haven't bathed in two days and its making me angry.
Agent :","oh my, don't lift up your arms!",,
59112,My mom yelled at my girl friend for something that wasn't worth yelling about.,angry,"Customer :Yes! My mom is crazy.
Agent :",Arent they all!,,
56058,I need a root canal.,angry,"Customer :Oh no! Have you ever had one before?
Agent :",No I have not I feel like it is my fault and I should have brushed more,,
63984,I was on a train in Sri Lanka. I asked the passengers if I was at the right stop. They told me no. Turns out I was at the right place.,angry,"Customer :I was on a train in Sri Lanka. I asked the passengers if I was at the right stop. They told me no. Turns out I was at the right place.
Agent :",Oh dang. Do you think it was intentional?,,
48149,i was pissed when i saw someone had dented my car door,angry,"Customer :i was pissed when i saw someone had dented my car door
Agent :","That's not good. Guess they didn't leave their information, hu?",,
37106,My mother in law cannot mind her own business.  She always tries to bend my husband's ear to her way of thinking we should do things.,angry,"Customer :My mother in law cannot mind her own business.
Agent :",Yikes! You got one of the bad ones. They sure makes things hard. ,,
10259,My supervisor belittled me in front of all of my coworkers in a meeting.,angry,"Customer :My supervisor belittled me in front of all of my coworkers in a meeting.
Agent :",That is absolutely horrible! Was this recent?,,
21439,"A colleague at my job took credit for months of my work and claimed I was of no help to them. It all worked out as it should have in the end, but that's never an easy situation.",angry,"Customer :Ugh I hate crap like that.  Why can't credit be shared?  Does it always have to be so cutthroat?
Agent :","Honestly, I'm indifferent as to how it's shared. Later, my boss actually sat me down and told me they knew my colleague was out of line. Ironically, their contract with our company was up two weeks later and they weren't renewed. ",,
36244,I wasn't happy today when someone ran in to the back of my moms car.,angry,"Customer :Wow! That's aweful. Is your mom ok?
Agent :","Yes, they put a huge crushed in dent in the back corner. They didn't get his plates on the camera :( And it's like $500 to pay the deductible to get it fixed..Seriously- insurance companies suck! ",,
39752,I can't beleve I only got half of the maximum for my raise?,angry,"Customer :Last week everyone got raises
Agent :",well congrats!! hopefully it  was a good raise for everybody,,
41627,I'm upset with the federal reserve bank.,angry,"Customer :why is that exactly?
Agent :","I keep up with my finances on a daily basis, and weekends and holidays always make that more difficult.",,
50139,I get mad at overtly superficial people.  They're nice to you in person but talk crap behind your back,angry,"Customer :I call them hypocrites. They take advantage of people whenever it suites their needs. Can't stand the presence of such people
Agent :",Yup exactly.  Especially when you're keeping it real.  The least you could do is return the favor,,
52412,I am so mad at what Andrew Cuomo said.,angry,"Customer :Who are these people you refer to?
Agent :",People at CNN and the whole liberal media who ignore the reality of the people's lives and try to project their own moral wonderland onto them,,
30171,I can not even think about losing any more money!,angry,"Customer :I have thought about it, but unable to 
Agent :","Yeah it is hard for some people to save money, for me it is kind of hard not to spend what i have",,
14606,I lost my job yesterday,angry,"Customer :I lost my job yesterday.
Agent :","Sorry about that.I know how it feels,especially with the family concerns",,
40413,I really do not like the new text and drive laws.,angry,"Customer :Yes, and I never got into any accidents.
Agent :",But maybe some people aren't as consientous as you and did get into accidents,,
2809,"I remember the time when I was madly raging, that I smash a 40oz beer on the street floor scattering all glass pieces over. That was after I lost $500 in gambling. ",angry,"Customer :I remember the particular time when I was a madly raging, that I smashed a 40oz beer on the street floor scattering all glass pieces over. 
Agent :",I bet you wore shoes on the street for a while.,,
17370,I am angry that the person I live with still doesn't like paying bills. You have to pay bills to have things. That is how life works.,angry,"Customer :I am sorry, roommates can be annoying sometimes
Agent :","Not a roomate lol-but yes. That's how life works though. If you want things and luxuries, they cost money. I'll never understand entitled people.",,
16116,"I am super frustrated that someone I know keeps ruining their life. They keep repeating the same bad mistakes to destroy everything, anytime anything good happens.",angry,"Customer :I am super frustrated that someone I know keeps ruining their life.
Agent :",That's unfortunate.  Especially when there's nothing you can do to stop it.,,
52732,My dogged pooped in my neighbors lawn. It becomes a habit for him,angry,"Customer :Oh no! Was your neighbor upset about it.I bet your embarrassed.
Agent :",Yeah. I am too embarrassed and angry on my dog. He should start to behave.,,
19348,"Before my birthday, my boyfriend tried to get me to pick menu items that everyone could eat--including him. This meant I picked place that served only chicken because it's the only meat my boyfriend can have due to his digestive/health issue. Of course, I got anxious and upset because the place I picked was serving healthy food--my preference--but the serving sizes were missing and I couldn't tell what ingredients were in what; this lead to us arguing.",angry,"Customer :Big fight. These kinds of things--picking out foods--make me very frustrated because I have ADHD/Aspergers. 
Agent :","Ah, I see. Well I hope it at least got worked out for you guys",,
14139,"I ordered a product with express delivery, and it was delayed for a week!",angry,"Customer :Oh yea, I've had it happen a few times. It's even worse when they ""lose the package"" for a while
Agent :",Yes! That's why I have to stay on top of the package tracking because you never know when something could go wrong.,,
43697,I do not like walking my kids to school. There are way too many hills. I wish t car worked,angry,"Customer :My car has worked in months and now school has started
Agent :","Oh boy, what are you going to do?  Do you have a good bus system you can use?",,
881,MY ex didn't show up to court again. He is always wasting my time.,angry,"Customer :The other party didn't show up so they put out a warrant for him. I don't have to go back now.
Agent :",That's something at least. I hope they catch him.,,
1525,I broke my phone,angry,"Customer :I dropped it lol
Agent :",Oh no! I hope you can fix it!,,
43391, I was driving to work today. I was very late and then a slow driver got in front of me. They made me even more late!,angry,"Customer :I was so late for work and trying to drive fast to get there.
Agent :",Why were you late,,
5502,Bought a laptop I really needed last month. The price went down by $200. Wish I would have waited.,angry,"Customer :Bought a laptop I really needed last month. The price went down by $200. Wish I would have waited.
Agent :",I hate when that happens! Were you able to get a credit for it?,,
24449,my brother flushed my fish down the toilet for fun,angry,"Customer :YES, he flushed him on purpose,  I was destroyed
Agent :",Ohhhh that's not fair,,
24353,How can I not be when she is only 14 years old,annoyed,"Customer :How can you not be what?
Agent :",Angry that my little angel was raped :(,,
35844,My landlord is boring everyone in the building. He is here every day asking questions.,annoyed,"Customer :My landlord is boring everyone in the building. He is here every day asking questions.
Agent :",What does he ask about?,,
39944,my computer wont ever work like I need it too. but I cant buy a new one.,annoyed,"Customer :You must use it a lot. You will understand it soon
Agent :","I do use it everyday, I guess I just need more practice.",,
11019,I have a headache.,annoyed,"Customer :I did but it's not doing the trick. I don't want to be laying around the rest of the day but I don't think I have a choice.
Agent :","Yeah, sometimes you have to do that to get better. I would take another dose if I were you.",,
34741,I got behind a slow driver on my way to work. It ticked me off because it made me late to work.,annoyed,"Customer :She did, but it was still really frustrating.
Agent :",That's true. I would be mad about that as well,,
38327,I get annoyed when I see over weight people,annoyed,"Customer :I think they like what they see.
Agent :","I think people find a way to lie to themself, and convince themselves that it isn't that bad.  body dismorphia.",,
23523,My cat vomited on my shoes the other day,annoyed,"Customer :My cat vomited on my shoes the other day
Agent :",oh shoot.. thats gross.. what did you do?,,
10256,I am so tired of being late for school every day. It is because I have to wait for my sister to get ready and she takes forever! I would rather ride the bus!,annoyed,"Customer :I am so sick of being late for school everyday. It is all because of my sister!
Agent :",It is so frustrating when someone else's issues affect your life.  What does she do to make you late?,,
30845,"I do the dishes at my house.  I can't stand it when I go to do them, and my wife has put a plate in there full of food still.",annoyed,"Customer :do you have roomates?
Agent :",Nah it was my wife's.  I can't stand it when she just dumps her plates in there without scraping off the food.,,
56988,One my coworkers has been showing up late everyday for almost a month. It's making a lot more work for me.,annoyed,"Customer :Aw dang, that must really be pain for you. Have you talked with anyone else about this? I'm sure other people are having problems with this coworker also .
Agent :","Oh yeah, it's been bothering everyone, but he is a friend of the manager, so he won't fire him. At this point me and the other employees are planning on taking it to corporate to get this resolved.",,
38520,Someone cut me off in trafic a few days ago.,annoyed,"Customer :Why are people so inconsiderate. Are you ok?
Agent :","Yes I had to slam on my breaks but I'm fine, it's quite annoying I don't know why people do it.",,
20059,"Once I was running late for my flight, and was in a really long line to check my bag. It was almost my turn and this lady cut right in front of me! ",annoyed,"Customer :I totally know that feeling. It seems that everyone thinks that their situation is more important that everyone else's. 
Agent :","Yeah, and who knows, maybe hers was, but you don't get anywhere by being rude to people.",,
33550,My neighbor is asking to borrow stuff from me.  It gets so irritating.,annoyed,"Customer :My neighbor is asking to borrow stuff from me. 
Agent :",Do you think they will return it if they borrow it?,,
42131,"My friend is literally changing his moving day, so that I can help.  I had to work on the first day, so he changed it...",annoyed,"Customer :My friend asked me to help him move one day, but I was working that day.
Agent :","as a matter of fact my friend asked me help him move recently , but i was busy at work too he understood ",,
22924,My mom makes me babysit my nephew all the time. I am sick of it. He is a brat.,annoyed,"Customer :I would not want to be in your position it's ok to help but all the time it can be dreadful. 
Agent :",I am sick of it. He is a brat.,,
9519,I got annoyed the other day when a woman was walking her dog. It had an extendable lead and was blocking the pavement,annoyed,"Customer :It probably is better for the dog. But the owners aren't always responsible. Where I live they use them on the sidewalk and block off the whole area for other people walking.
Agent :",that does not seem safe for anyone. Is there anything you can do about it?,,
33900,none of the girls at school like me.,annoyed,"Customer :I try my best, I just need to wait and it will come.
Agent :","yes. i have found that if you just play it cool, things will happen as they should. still sucks when it doesnt though",,
10993,I am not happy at how I am treated because of my orientation to life,annoyed,"Customer :I am not happy at how I am treated because of my orientation to life
Agent :",What's your orientation?,,
4331,I stepped in gum someone spit on the side walk,annoyed,"Customer :I stepped in gum someone spit on the side walk today.
Agent :",Were you able to get it off of your shoe?,,
56407,My coworker left early on me today and left me with a ton of work. I can't believe he always gets away with it.,annoyed,"Customer :Oh I bet that is frustrating!  Can you report it to someone?
Agent :",I have a team leader who I can try to report it to but he always seems to brush me off. It's getting old at this point!,,
21445,MY kids never go to bed at a decent time.,annoyed,"Customer :I am so upset with my kids.
Agent :",What did they do this time? Kids are always getting into stuff.,,
8696,My teacher wouldn't pick on me when I was raising my hand over and over. Made me feel anxious.,annoyed,"Customer :I'm not sure. Maybe it was because I usually answer all the question. I felt quite peeved.
Agent :","Oh, then don't feel bad? I think the teacher is trying to get everyone else involved.",,
48526,I have to take off work tomorrow to wait on a repair man to come to my house.,annoyed,"Customer :My new AC unit is leaking... I've got water dripping from my ceiling.
Agent :","Oh my my, hope it gets fixed fast",,
52029,I cant believe my daughter drank my last dr pepper. She knows I can't live with out them,annoyed,"Customer :it is. it is mu cigarette dipped in coffee. And my daughter drank my last one!
Agent :","That's awful, sorry to hear that. I love me some Sprite.",,
6998,I went to the gym the other day and I forgot my workout shoes. I had to drive all the way home in rush hour to get them.,annoyed,"Customer :So I got all the way to the gym the other day and realized I did not pack my gym shoes. I had to drive home in rush hour to go get them. I was ticked.
Agent :","Dang, I would have been so upset too. ",,
13890,"I ordered a meal from a restaurant, and when I went there to pick it up they claimed they never received it. I was really upset, and they did not offer to correct the situation.",annoyed,"Customer :sorry about that, seems their customer service is not welcoming
Agent :",I wish customer service was better these days. It is a declining service.,,
30736,My paper boy never brings my paper on time.  I get so irritated by that.,annoyed,"Customer :Ah! That must be so frustrating. You should speak to him about this.
Agent :","I have, I get so irritated by that.",,
53387,"They've been doing road work outside my house all week! It just goes on for 12 hours straight everyday, mostly at night!",annoyed,"Customer :Are they almost done with it?
Agent :","I'm not sure! Nobody has been able to give me a clear answer, not even the workers outside.",,
58814,my sister ate all my snacks that i  bought yesterday,annoyed,"Customer :my sis ate all of my snacks yesterday
Agent :","Oh, no! I bet you were mad! Was she very sorry?",,
917,"I recall this time when I was making a pizza and I got an important call from my boss. I had to talk with him for about 15 minutes and when I came back, I realized the pizza had been burnt in the oven. I was very annoyed because I worked hard to make it!",annoyed,"Customer :We had to order from a fast food chain! It wasn't bad, but fair to say, my nephew was disappointed in me.
Agent :",What went wrong with the pizza you were trying to make?,,
24364,I had an issue with my credit card and they put me on hold for 45 min before I even spoke to someone!,annoyed,"Customer :Yes I spent more time on hold than speaking to a represaentative
Agent :",Did they have an online chat option?,,
7035,In the queue at the supermarket,annoyed,"Customer :that makes sense, but I guess everyone needs food!
Agent :",Yeah - but they could at least have their money ready by the time they reach the till.,,
42989,I have an older sister that is always comparing our kids as if her kids are smarter.,annoyed,"Customer :Oh wow, that's kind of rude.
Agent :","Yes it is upsetting, because she alludes to her children being smarter and more well-rounded than mine.",,
25138,I'm aggravated that I don't earn more.,annoyed,"Customer :I'm annoyed that I don't earn more.
Agent :","Yeah, I know how that goes.",,
39747,I work all day long and my teenagers have been home all summer.  But when I get home they've not done anything around the house.,annoyed,"Customer :Well, I hope so - but I just wish they would clean up a bit when they are home.
Agent :","my little sister is the same way, these new kids my dad would make me go landscaping with him for my back to school clothes",,
48988,Sometimes I'll have a song stuck in my head for hours,annoyed,"Customer :Sometimes I'll have a song stuck in my head for hours
Agent :",Story of my everyday life. I swear I ear a jingle for hours,,
24586,Some one I lent money to has refuse to back my money,annoyed,"Customer :Yeah, Thanks
Agent :",Are you sick or just not feeling well?,,
