doc_id,prompt,response,emotion_raw,emotion_label
155,The final exam for my Linear Algebra summer class is in a week and I do not feel prepared for it,"try to relax and think positive, visualize yourself acing the test.",anxious,anxiety
156,I am worried about my interview,i am worried about my interview,anxious,anxiety
157,"Dealing with a partner away at therapy is tough. Especially when they go through some hard things and you don't know how they will react and if they will take it out on you, leave etc.",dealing with a partner away at therapy is tough.,anxious,anxiety
158,I'm not really sure if I am going to be able to find a gift for my wife's birthday.,"oh no, that is awful. maybe you can find something else to give her for her birthday but tell her you have another present that will arrive a little later.",anxious,anxiety
159,"My brothers wife had our first girl into the family, the wait was intense",thank you! it is a great experience and blessed with a healthy baby,anxious,anxiety
160,"for my house to sell, and my wife to start her new job in 2 weeks. ",we are really i am just so ready for it my god i cant even wait!!,anxious,anxiety
161,I've been having some serious headaches lately. I don't know why.,you should probably go to the doctor,anxious,anxiety
162,I went back to college as an adult.  It was surreal seeing all the  young kids around me.,"i went back to college! it was quite a bit scary, being in class with kids that just graduated.",anxious,anxiety
163,I am finding it hard to meet the project deadline. And this makes me anxious and stressed throughout the week,"i know, but somehow the crippling anxiety is filling me from inside and i cannot stay calm most of the time",anxious,anxiety
164,I drank all the coffee this morning and didn't share the whole pot with anyone. Now I feel very strange.,"oh yeah, why is that? do not tell me you spilled some delicious coffee!",anxious,anxiety
165,I came home and my outside window to my cat room was broken. It makes me feel scared as I am in a bad neighborhood and would like to know what happened when I wasn't home?,cat room? i have never heard of such a thing.,anxious,anxiety
166,"I had to go in for an mri scan due to some headaches.  Fortunately the mri was clear, but my mother has MS and we were worried.",i had to go in for an mri scan due to some headaches that the dr could not get figured out.,anxious,anxiety
167,"Work has been slow lately, making me stressed.","yes, my work is seasonal.",anxious,anxiety
168,I've been a bit uneasy about money lately.,i have been somewhat uneasy about money lately.,anxious,anxiety
169,My a/c is going out and it is supposed to be real hot today.  I hope it doesn't break on me.,yeah its supposed to be a scorcher today too,anxious,anxiety
170,Cinemas freak me out. They're to dark and quiet.,is it because of the shootings?,anxious,anxiety
171,i get anxious when my girlfriend says we need to talk and then it turns out it's nothing big,she texts me all the time that we need to talk and i am like concerned you know,anxious,anxiety
172,I took a test last week and I'm still waiting on the results to come in.,i took a test last week and i am still waiting on the results to come in.,anxious,anxiety
173,"My dad had a stroke about a month ago and we've been waiting to see if he would recover 100%.  Thankfully he did, but the waiting was pretty intense.","im sorry thats awful, i hope he makes a full recovery",anxious,anxiety
174,I was nervous this morning driving. It was raining hard,i was nervous this morning driving. it was raining hard,anxious,anxiety
175,I am worried about my cat. She is acting kind of strange. I hope she doesn't have an illness.,i am worried my cat is not feeling well. she does not move around much. i hope she does not have any health problems.,anxious,anxiety
176,I was startled the other day by a snake.,"yes, i am fine. i do live in the country. i killed it.",anxious,anxiety
177,I have my performance appraisal tomorrow at work!  I am really nervous!,this will be my first one! i do not know what to expect and that is why i am so nervous!,anxious,anxiety
178,I can't find my phone anywhere. Everything is in it!,i cannot find my phone anywhere. everything is in it!,anxious,anxiety
179,I have to go into a new job today. My friend told me it wasn't any fun.,i am starting a scary type of new job today.,anxious,anxiety
180,Ive been waiting for months for Madden to come out. Finally this friday i will be able to get it.,the new madden finally comes out friday!,anxious,anxiety
181,"When I went back to work, I felt very uneasy about taking my infant to daycare.  I was so afraid something would happen to him, I quit my job after three weeks back to stay home with him full time","i am glad you understand. i would panic at work, i could not relax! i ended up deciding to stay home with him full time after just three weeks back at work.",anxious,anxiety
182,I have a job interview coming up next week. I'm a little nervous about it.,"yeah, i am definitely excited for it",anxious,anxiety
183,I found out my sister was finally able to get pregnant last week.,ughhh its so hard to keep good secrets tho honestly!,anxious,anxiety
184,I'm really worried I screwed up at work and said something I shouldn't have.  Now I can't stop thinking about it.,i am really worried i screwed up at work and said something i should not have. now i cannot stop thinking about it,anxious,anxiety
185,"The first day I went to the gym after years of being out , I was so anxious I was going to look stupid.",i started going back to the gym recently and i was so anxious the first day that i was going to look stupid!,anxious,anxiety
186,"An old ""Friend"" that's a girl wants to go get drinks tonight.  Not sure if its a trap or not.",i guess you are not at all attracted to her then?,anxious,anxiety
187,My husband wants to take a job in another state. I am just not sure that it's a good idea to uproot the kids like that right now.,"it is, but not much different than what he already has and i just do not know if it is a good idea to make the move right now. i do not want to uproot our kids.",apprehensive,anxiety
188,I am worried about attending my firearms class. I think I will fail the test.,why do you think you will fail?,apprehensive,anxiety
189,i'm always scared that something bad will happen.,"i think a lot of people feel the same, it is natural. is there anything in particular that you are scared of happening?",apprehensive,anxiety
190,When I first started my current job I was very scared. I had to psyche myself up in order to just walk through the front door. I had never worked in that field before and was terrified I would do a bad job. I read self help books with positive outcomes in order to get through the first few weeks.,me too! i sat in the parking lot for an hour reading a self help book just to be able to 'fake it' by seeming outgoing.,apprehensive,anxiety
191,I'm feeling a little nervous today. I'm selling an appliance on Craigslist and I have someone coming over to look at it. ,nervous about the person or nervous that they will not take it?,apprehensive,anxiety
192,I'm worried about my daughter starting middle school next week.,"oh wow, is she nervous about it?",apprehensive,anxiety
193,I was having a test today. This one was for my graduation.,it was fine and now i will be able to graduate!,apprehensive,anxiety
194,I used to be nervous if someone tried to confront me or start a fight...but since I've taken up boxing mma and wrestling I really don't fear anybody,i am glad to hear that. it can take a lot for some people to be confident like that. i am glad you got over your issues with it.,apprehensive,anxiety
195,I had a job interview a month back that was very important to my career. I went in there extremely nervous. I guess that didn't show because I ended up getting the job.,"i had an interview a month back for a great job. i went in there extremely nervous, but ended up with the job!",apprehensive,anxiety
196,"When my daughter told me she had news for me over the phone, her tone made me so apprehensive. Turns out, she just wanted to tell me she scratched the car.",i can see how it would make you anxious.,apprehensive,anxiety
197,My friend has been very distant lately.,"she says everything is okay, but it is definitely not.",apprehensive,anxiety
198,"When I first started working out, I was very nervous and apprehensive while lifting weights.","good job, it is always good to hit the gym and to stay in shape. i just started again as well.",apprehensive,anxiety
199,"I want to ask a girl out on a date, but I'm not sure if I should. She doesn't seem that interested in me.","well, i feel shy. also i do not know if she likes me that way.",apprehensive,anxiety
200,Tomorrow is the first day I start a new job and career.,so tomorrow is my first day at a new job and new career.,apprehensive,anxiety
201,I haven't heard back from my mom yet. Wonder if she's ok.,i have not heard back from my mom yet. wonder if she is ok,apprehensive,anxiety
202,Sometimes I'm afraid to ride the city bus because you never know what kind of drama will unfold.,"oh, it is crazy what some people will try. but, sometimes an argument can get very interesting to watch!",apprehensive,anxiety
203,I am really nervous about work tomorrow!  I am supposed to be presenting at a meeting in front of upper management and feel uneasy.,"wow, i would be really nervous too. but i know you can do it!",apprehensive,anxiety
204,i was on a date with a new girl.  we were walking to a concert.  some toughs were approaching the other way.,what concert? did you like her enough to go on a nd date?,apprehensive,anxiety
205,I don't think I want to go on a cruise.,that does sound awful! the thought of being out in the middle of the ocean makes me nervous,apprehensive,anxiety
206,I don't think I should drive in town today.,nothing yet but i am sure something bad will happen.,apprehensive,anxiety
207,"The first time I donated blood, I instantly regretted signing up. I was so nervous of the big needle, but when I finally donated it was totally nothing.","thank you! i felt a lot better after having done it. do you know what blood type you are? i am o , so i feel like i really aught to donate more.",apprehensive,anxiety
208,"Yesterday, my mom came home late. I was very worried. I prayed until she came home.",my mom came home late. i prayed until she came!,apprehensive,anxiety
209,I'm not sure I like my new job',i am. i dread going there tomorrow,apprehensive,anxiety
210,We're going roller coaster riding this weekend,we are going to six flags. i have never ridden a coaster before.,apprehensive,anxiety
211,"I decided to change jobs lately, but I am now not sure I will adapt to this new job.",are your not liking your new job?,apprehensive,anxiety
212,I dont think Im going to vote anymore,why are you done with voting?,apprehensive,anxiety
213,The building where I work is under construction and senior leadership was recently offering tours to staff members. I was a little nervous about having to walk through a live construction zone and thought I might trip on something. ,"i agree! i think if i do it, i need to buy some closed-toe shoes and make sure i am wearing the correct clothing.",apprehensive,anxiety
214,I got invited to this one party in a shady part of town. I was hesitant to go but I did and I was glad that I did!,"it was great, contrary to what i thought.",apprehensive,anxiety
215,I have to get a root canal tomorrow. I think it's gonna hurt.,i am afraid it is going to hurt a lot.,apprehensive,anxiety
216,I am worried about an upcoming interview.,"everything will go fine, all you have to do is be yourself",apprehensive,anxiety
217,I'm about to leave the job I've had for 3 years and go to a new company. ,next week i am leaving the company i have worked for for years and taking a totally new position at a new company. i am nervous!,apprehensive,anxiety
218,I invested a lot in shares. One day one of my important share went down. I was very worried at that time.,"no, that was a time when share market crashed. august . i was very nervous at that time.",apprehensive,anxiety
