text,label,source
"hearing successful getting position whereby financial, physical, spiritual emotional need well catered for. position fulfils lot aim last five year life.",joyful,isear
story aunt beaten humiliated uncle.,angry,isear
"driver licence drive long time, started drive again, get hard transit highways.",anxious,isear
"two female classmate lunch, chatted cracked jokes, very happy. however, felt may said something inappropriate might cause bad impression me.",joyful,isear
"one day room mate started imitating me, done hour back. got very angry started beating up.",angry,isear
friend punished something done.,sad,isear
satisfactory result recently completed university subject communicated phone.,joyful,isear
walking pavement white car rolled directed towards me. quite near house wall rolled hit me.,anxious,isear
classmate knocked door 2 o'clock morning. disgusted behaviour.,angry,isear
one friend started misbehaving.,angry,isear
boarded yanu yanu bus sat near man smoking tobacco.,angry,isear
accident damage car body.,angry,isear
would bad class not get bus school.,anxious,isear
saw family separation one year.,joyful,isear
walk street late night. friend attacked one night without reason it.,anxious,isear
"sister hospital, later evening received information died.",sad,isear
meeting friend got good universities.,sad,isear
"park near home, group young people strangely dressed seated middle street. began eat carressing other.",angry,isear
told primary teacher done homework mother car accident. teacher rang night see mother fine i.e. no accident !,sad,isear
"grandmother, second mother died.",sad,isear
"wanted something particular not get it, also no possibility getting it.",sad,isear
"ever since child, sight kind wound.",angry,isear
last september felt very sad. heard not selected study university malawi.,sad,isear
met elephant bush.,anxious,isear
"class test nursing, so friend army caught peeping, using paper already answer written him. so u army got ashamed.",sad,isear
"no ideal result university entrance examn, guilty family friend.",sad,isear
"very horrible dream one night, dreamt fallen very crowded train.",anxious,isear
"six year old, mistook cat leopard entered room night.",anxious,isear
walk child met drunk woman.,angry,isear
sexually assulted public.,sad,isear
"came know father parent self interested, dirty, negative, egoist, bad peolpe,......",angry,isear
realized impossible free imagined could not anythong it.,sad,isear
"uncle mine retired, worked hard life, got cerebral hemorrhage.",sad,isear
"young, one day car fell sick ended vomitting other.",angry,isear
friend get acquainted guy vacation thought disgusted friend mine feel little disgust wanted stay him.,angry,isear
training australian championship competition year injuring 2 week competiotion.,sad,isear
guilty walked dog quite day given no attention.,sad,isear
time confronted report repression torture.,angry,isear
someone signed workshift co op live not want work switchboard. became very angry. mentioned earlier wanted needed workshift so not sign up.,angry,isear
joked unfamiliar friend obstinate tone. afraid misunderstanding hurt angry me. felt sorry conduct thought find opportunity apologize.,sad,isear
"certain person, seen. make cringe, feel disgust.",angry,isear
child told sexually abused step father. knew child not come contact either parent. tried best child. event stepfather disgusted me.,angry,isear
failed secure employment form 5 lusaka despite excellent certificate.,angry,isear
best friend chosen english lectures.,joyful,isear
"not written to, called grandmother, lonely, long time. mother asked call behalf so, grandmother delighted told waiting news us.",sad,isear
spoke ill fellow worker absence person.,sad,isear
"day school. instead helping mother job, stayed bed day.",sad,isear
feel disgust hearing seeing people treated inhumanely. example torturing chili.,angry,isear
"together little brother biked lonely road polder. annoyed boy motorbike took over, stopped, took over, etc. saw something hand, turned came across man, accompanied us.",anxious,isear
finding university not enough foreign currency buy yournals reference list.,angry,isear
given audition get role. competitress well prepared ill.,anxious,isear
fell love.,joyful,isear
little fishing boat ran hard weather open sea.,anxious,isear
"one evening friend mine telling fearful story, nobody took seriously got frightened.",anxious,isear
guilt not written sister month died.,sad,isear
"went walk very close friend talking problems, told lies.",sad,isear
almost ran small boy suddenly front car.,anxious,isear
learnt betrayed friend.,sad,isear
fighting father drunk.,sad,isear
girlfriend came home business dinner expensive place town drunk skunk. whats drove home remember so. disgusted state actions.,angry,isear
dad told something done mother.,angry,isear
editor changed heading article written. considered heading derogatory towards person written about.,angry,isear
slammed little brother wall bothering me.,sad,isear
intimate girlfriend told father opposed relationship insulted integrity.,angry,isear
"one night, walking along park, began think roughneck would appear suddenly knife thing like that.",anxious,isear
"met friend not seen long time heard troubles, thought got touch earlier.",sad,isear
"normally father never tell vulgar jokes, not speak sexual things, too. told vulgar joke, really disgusted. not tell me, friends, present.",angry,isear
feel ashamed praised.,sad,isear
can't remember exact example.,angry,isear
"professor faculty laughed at, suspicious composition written class mate me.",angry,isear
read newspaper morning found candidature number admission list chinese university. satisfied happy cumulative anxiety disappeared. wanted cry succeeded.,joyful,isear
not beeing able stay mother national day holiday.,sad,isear
"someone, sitting very close me, smoknig compartment air conditioned mini bus.",angry,isear
"discussion colleague mine, realized conception man work similar mine.",joyful,isear
"friend stationed car when, suddenly man appeared side gun side hold lasted minute terrible. never seen gun so close.",anxious,isear
armed robber broke house night.,anxious,isear
finding health condition may attending university lectures.,anxious,isear
brother continually interupting talking telephone.,angry,isear
hurt someone's feeling unintentionally.,sad,isear
ashamed certain friend mine used move failed propose lady yet always said no lady refuse proposal.,sad,isear
"close friend met station middle night, came back long tiring journey.",joyful,isear
"friend place very, very busy. wanted go bumped person, dropped glass beer offered new one accept it.",sad,isear
feel sad see thing done men nothing could stop least think so.,sad,isear
friend mine could not make back unza failed exams.,sad,isear
watched football match old friend. performance team very good team member full spirit. match excellent every time goal scored felt excited.,joyful,isear
"slapped nephew something considered wrong, reprehended this.",sad,isear
overeating traditional type food blood pudding.,angry,isear
"school thought going get best result mathematics, someone else got prize.",angry,isear
think too stict narrow minded towards students.,sad,isear
"annoyed particular day seemad odds not favour. grandfather added fuel fire, important appointment so unleashed anger him.",angry,isear
"dived among shark brightly coloured fish outer reef tvavni, fidgi.",joyful,isear
first sat entrance examination.,anxious,isear
"found set task i.e. 2 essay test , thought oppressed me, not date thought.",joyful,isear
unexpectedly well examn.,joyful,isear
"girl trusted shared personal, confidential matter twisted fact told common friend ours. common friend told version friend told her, angry.",angry,isear
friend tried discriminate friendship certain friend thought improper.,angry,isear
first niece born.,joyful,isear
"nephew deaf also hyperactive boy. responsible looking full day, very tired. suddenly grabbed knife stabbed leg. got so angry feel pain.",angry,isear
"evening, watching tv, little brother came started eating food brought kitchen trying concentrate program.",angry,isear
someone ruining someone's property fun it.,angry,isear
"day received key apartment could enter it, fianct bought yet plans, seemed u almost impossible happen.",joyful,isear
wrote letter boyfriend answer time so defence mechanism found felt so sad talk anyone.,sad,isear
notify someone summoned headmaster result ended heavy punishment.,sad,isear
"watching 49ers lose game game, year year, finally rewarded super bowl victory made extremely happy.",joyful,isear
"earlier, afraid speaking front crowd people.",anxious,isear
"several day final examination school, sitting airplane way greece. enjoyed moment very much.",joyful,isear
mother not come home till late night age ago . anyway know parent back start thinking perhaps accident perhaps dead.,anxious,isear
"class excursion, boat stockholm. night class mate prepared clebrate motive life life merriment . felt depressed way sought happiness.",sad,isear
"one day, child, grandmother shut room.",angry,isear
finally qualified profession.,joyful,isear
"guilty gossiping blaming others, one superior workplace made formal reprimand.",sad,isear
staying alone room midnight reading horror stories.,anxious,isear
"almost crashing car, something could led great problems.",anxious,isear
one parent insinuates something divorced .,sad,isear
"phoned two friend not able arrange meeting either them, so change plans.",sad,isear
bought possible answer homework problem completely inapplicable question due not read subject matter.,sad,isear
"not paying attention, little brother fell table.",sad,isear
got loan studies.,joyful,isear
"friend mine came visit stayed roommate me. roommate became good friends. left, talk too highly her.",angry,isear
drink wine too often.,sad,isear
yesterday received b history midterm. felt overjoyed received c's previously.,joyful,isear
feel angry people's indifference ability present event stay partial happens.,angry,isear
"incident occurred going home girlfriend. way, man named banda grabbed girlfriend presence. really angry result threw stone ran away.",angry,isear
"learned class mate given list, peolpe help exams, professor.",angry,isear
"quarrel mother thought said very unreasonable thing me, hit strongly.",angry,isear
felt smell industry pollute.,angry,isear
lied best friend reform done.,sad,isear
long time saw boy friend again.,joyful,isear
going take driving test.,anxious,isear
"so called friend let down, promised tell certain concert occurring, get tickets. really looking forward it. nothing, told blue one day fantastic concert going be.",angry,isear
fear losing husband.,anxious,isear
unable stop urinating bus.,sad,isear
serving lady students' dining hall shouting studennts.,angry,isear
angry friend without reason.,sad,isear
one day going school brother annoyed me.,angry,isear
put tennis team standard.,angry,isear
failed test miserably friend very well someone made nasty comment comparing friend.,angry,isear
receiving result slip pas birthday.,joyful,isear
angry somebody stole half petticoat.,angry,isear
"came back hostel, bed full newspaper dirty clothes. room mate asked wash clothes no time responsibility . food shared eaten ate little .",angry,isear
shame .,sad,isear
"unjust, precise, bureaucratic treatment one's personality.",angry,isear
hearing filthy situation phone.,angry,isear
obviously unjustly treated no possibility elucidating this.,angry,isear
guilt conscious struck failed standard two examination 1972. knew would suffer consequence class hour thus playing friend sometimes not even going school.,sad,isear
present found shop keeper dead shop. shot shotgun close range.,angry,isear
"got examination driver licence, finished knew passed it.",joyful,isear
"one morning standing bus stop bus passed without stopping, even though 8 10 passenger inside. felt angry rude behaviour bus driver conductor.",angry,isear
"inventing fictitious series events, result ended conflict two closest friends.",sad,isear
"trivial friendly discussion, one participant made intervention made feel uncomfortable.",angry,isear
childhood could not get wanted brother sister parents.,angry,isear
unknown person knocking repeatedly backdoor no one else home.,anxious,isear
"moved away home, feared leaving.",anxious,isear
hated not letting go found not decision.,sad,isear
since written relatives. got letter mom telling upset grandparent not hearing me.,sad,isear
"stopped police spain, grass tobacco.",anxious,isear
"holiday greece called best friend, told passed examination admitted study speech therapy.",joyful,isear
"wished secretly lied friend mine want stay house beach always , stick me.",sad,isear
committed sin mentioned anger. sin sexual immorality.,angry,isear
"father said pregnant, procure abortion. filled disgust father.",angry,isear
people not resprcting opinion.,angry,isear
found could not go concert buying ticket biology test occurred morning after.,sad,isear
got lost new york city late friday night friend mine.,anxious,isear
one learns mass medium war killing going world.,angry,isear
failed entrance exam imec.,sad,isear
someone know respect sexually assulted girl.,sad,isear
admitted language school. day informed message parent congratulated me.,joyful,isear
could not get university wanted get in.,sad,isear
"very angry friend lost practical's journal, needed study exams.",angry,isear
crashed car scrapped then. fault feel depressed miss car.,sad,isear
"one year, went camp, chased dog. tried hard finally managed escape it. torch suddenly went talked ghost story thought ghosts.",anxious,isear
"read book situation south africa, terrible violation human rights. disgusted white population.",angry,isear
witnessed accident.,angry,isear
"appointment friend. promised meet him, last not without informed him.",sad,isear
"watching movie many violent episodes. accurately showed cutting corpses, etc...",angry,isear
sister took something belonged without permission.,angry,isear
"daughter 2 yr went colt tried hit it. turned kicked heart, sent flying air. left mother sister deal nurses. felt want know going die, too much.",anxious,isear
tripped getting bus.,sad,isear
"almost caught girl hostel security men, would expelled school caught.",anxious,isear
offered place university full time student.,joyful,isear
"certain woman asked make something kept putting off. finally made it, not see day told one day collapsed died. felt quite guilty jokingly said might not requested do.",sad,isear
someone told not good english class.,sad,isear
table french friend's house. served big dish roast cauliflower sauce. eat it.,angry,isear
surname brother different ours. often grinned home provoked others pleasure it. made angry.,angry,isear
severely reprimanded trivial offence front member peer group still school.,sad,isear
"busy day went back hostel. closed door drink, read favourite book bed. suddenly felt peace joy.",joyful,isear
bought aquarium made much pleasure. watching fish father came asked much payed it. said would not pay current would require.,angry,isear
elected class leader.,joyful,isear
unfair punishment.,angry,isear
alone room boarding house 12 o'clock someone knocked violently door.,anxious,isear
"one day school quarrelled school mate, ultimately hit hard. he, physically weak visit doctor remain absent school two days.",sad,isear
"when, example, fail undertakings.",sad,isear
left part time job.,sad,isear
saw sort black worm attacked many ants.,angry,isear
confronted opinion hassled police.,anxious,isear
"feel afraid way great friend look me, also little afraid direction going.",anxious,isear
thunder belt hit roof top building in.,anxious,isear
"train fight occurred. one person opened handbag took gun, another fought too looked among thing weapon fight.",anxious,isear
"call mother least week. however last week completely forgot. morning called me, thought felt ill.",sad,isear
"discussion mother, realized not moment doubt justification making decision concerning life.",angry,isear
asked child's godmother.,joyful,isear
hainburg december angry politician police.,angry,isear
"17, mystic vision. melted dazzling light, omitted perfect love. physical experience became unimportant, heard saw word overcome egotism . feeling joy remained month experience.",joyful,isear
"discovering good friend lied me, resulting detrimental relationship another person.",angry,isear
drunk walked front car night. lower leg broken. shoe thrown 50 yard accident.,angry,isear
"studying library preparing test, two people sitting next talked 20 minutes. no seat so could not go elsewhere not want interrupt them, so could angry heart.",angry,isear
"felt sadness notice not important determinate person. many thing friend, see soon after, anything us, nor think us.",sad,isear
"disgusted told dress big rotten stinky wound which, coming closer, made feel like vomitting.",angry,isear
"without permission, son made popcorn coming back school. consequence spoilt kettle chaos kitchen could happened hot grease ?",angry,isear
"discussing something person realize person thinking argumentation instead listening, become angry.",angry,isear
"feeling guilt greed, buying chocolate pigging point feeling sick, especially fat.",sad,isear
making music together friend. sounded very good very satisfied.,joyful,isear
"promised contact friend particular matter certain date, thought no friend reminded date passed.",sad,isear
"person loved admired lot died. felt empty, lonely, helpless, without support, not knowing do.",sad,isear
"studied exam, so pretended sick so go school. lied mother realized lying got home work found friend's place.",sad,isear
"undeserved attitude toward man, human personality not treated decently.",angry,isear
felt happy mother borrowed car order let go alone first time.,joyful,isear
"realised someone insidiously attempting shit disgusted so, afforded no excuse so.",angry,isear
man loved decided leave forever.,sad,isear
"opinion 12.00 pm too early back home going out, so stayed away longer, knowing mother would worried.",sad,isear
one time set journey night going certain bar. way met friend told two people died heavy fighting. proceeded fear.,anxious,isear
felt disgust person whose behaviour elementary human norms.,angry,isear
girl left me.,angry,isear
heard news grandfather died.,sad,isear
walking along subway saw group louts. rather afraid alone.,anxious,isear
oral examination not take eventually.,anxious,isear
"person liked left friend mine, several month mutual help profound knowledge other.",sad,isear
felt sad thief stole clothes friend's cupboard school boarding .,sad,isear
felt guilty one day stole slice bread cafeteria.,sad,isear
"torn inner tube bike, not mine. saw brand new one. felt very guilty then.",sad,isear
"omitted favor friend, very much need help.",sad,isear
girl entered division work greeted everybody not me.,angry,isear
new year's eve went disco friends. amused got know many people.,joyful,isear
husband decided take day holiday particularly trying period.,joyful,isear
"young, became very angry not allowed stay night fair town.",angry,isear
receiving understanding within self subject previously wished understand better.,joyful,isear
happened lost two very intimate friend car accident.,sad,isear
"wanted talk someone liked told like brother even however avoids confrontation, vague.",angry,isear
"patient died anaemia organising blood transfusion him, so felt guilty, thought may slow.",sad,isear
get angry people disbelieve misunderstand me.,angry,isear
thought going impossible start studying due wrong information student advisor .,sad,isear
went sauna first time men women.,sad,isear
getting friend open container ticket got caught speeding.,sad,isear
planning marry.,joyful,isear
poorly test knew excuse not better. made mistake could not believe made.,sad,isear
bad temper serving lady students' dining hall.,angry,isear
cleaning bathroom apt. realizing roommate lived summer never cleaned place.,angry,isear
summer received grade card ta's. expected b no better computer science. looked card got ecstatic.,joyful,isear
week back daughter very high fever scared might lead brain damage convulsions.,anxious,isear
friend told story stayed dumb no story tell.,sad,isear
felt alone without love.,sad,isear
holiday boyfriend turned away outwardly. therefore danced another man raised certain hope him. explain circumstance,sad,isear
somebody blaming story not real not true.,angry,isear
feel feeling fill questionnaire form.,angry,isear
forgot birthday best friend innocently came visit one week later.,sad,isear
medium presentation kidnapped child raped.,angry,isear
friend mine beaten fault.,sad,isear
fell head ear love someone appeared love me. made so happy could hardly sleep eat one week.,joyful,isear
"left sister's house staying days. two little boys, very warm people family . time, need sort contact, grew very fond child no, not paedophiliac .",sad,isear
grade seven class planning protest rude immoral teacher. sneaked told headmaster so plan foiled.,sad,isear
no response.,sad,isear
difficult moment express correctly thought came distortion bringing highly negative distorted results.,angry,isear
"going nkhoma last saturday vehicle moving very fast, so feared might crash since road too rough.",anxious,isear
"heated argument lover whose intention marry near future rejected started cry. stopped cry moment said there, got ? .",angry,isear
best friend failed exams. leave so got separated.,sad,isear
held water large wave thought drowning.,anxious,isear
"home, husband i, made remark something done, perfectly friendly manner. deed unjust knew husband right, therefore sense shame.",sad,isear
death parent.,sad,isear
friend mine shouting group juniors.,sad,isear
person trusted lot gave many false explanation justify wrong action.,angry,isear
"saying something quite rude, jest, photograph someone, quite turn way.",sad,isear
friend's fianct left me.,sad,isear
period pregnant gave birth son. say happiest month life.,joyful,isear
"one dark night no street lights, car obviously following me.",anxious,isear
received message brother seriously ill hospital.,sad,isear
experienced emotion grandfather passed away.,sad,isear
gone hospital research got late reaching home. feared reached home would quarrel late.,anxious,isear
seeing friend making love high school girl. accidentally dragged room happening occurred. disgusted reality.,angry,isear
department meeting friend ate dish prepared meeting.,angry,isear
"wanted get contact girl loved, afraid would refuse me.",anxious,isear
"driving friend's car, got close pavement ask way struck parked car.",sad,isear
"going home, saw somathing looked like snake road later found stick.",anxious,isear
badly chosen word vague acquaintance mine made feel ashamed given wrong impression wanted say. thoughtlessness.,sad,isear
injured friend accidentally stone. made cut cheek resulted suturing.,sad,isear
"entered wrong room, got bed someone already sleeping.",sad,isear
lied last week. lied someone get info. paper writing. told info. newspaper article. afraid told truth help me.,sad,isear
"looking end semester results, finding failed three seven subject .",sad,isear
always feel guilty see mother sad fed life. really dont know reason.,sad,isear
girlfriend afraid anxious day taking exam.,sad,isear
fearing use power reprimand belong minority.,anxious,isear
may 20th got summon appear court may 28th 1985 subject impregnanting school girl. really feared standing court day time notice. also embarassed due formal approach expected principal.,anxious,isear
fooling around guy not know.,sad,isear
heard last regulation socialist govrenment concerning pensions.,sad,isear
intoxicated invaded someone's girl's personal space large extent.,sad,isear
"friend mine, repeated year school before, not pas final examination take half year later.",sad,isear
"got finger stuck one side hole door, tube.",sad,isear
situation felt happiest life person love first time.,joyful,isear
"member religious sect tried convert me, using really evil trick persuade me. left, anxious angry long time. event, alone.",angry,isear
made acquaintance certain person.,joyful,isear
eating last remains dinner someone else unknown claimed.,sad,isear
"found absent school, gone girl's secondary school.",sad,isear
"met girl time ago cared very much happened so left other. felt sort sadness, think call so.",sad,isear
"talk too much, cannot keep thing secret. promised friend not tell something anybody. neverthless, did, got informed it. felt very ashamed.",sad,isear
"night sleeping another's arms, one wake alone know lonely arm night not one meet morning.",sad,isear
met best friend's husband prostitute.,angry,isear
meddlesomeness mother way live. think free behavior instance boyfriend stay night.,angry,isear
"sierra nevada, climbing peak 3,000 metre high, without light many problems. afraid life.",anxious,isear
notified accepted psychology student.,joyful,isear
death grandfather.,sad,isear
certain girl believed life partner refused engagement.,sad,isear
woman picked nose spit right next me.,angry,isear
"heard radio football match belgium ended catastrophe, several people died. could not understand normal people could behave way.",angry,isear
got disgusted man beating woman street. happened abhorred rudness.,angry,isear
naturally got discharged second birthday.,joyful,isear
one day went see movie without parent permission. adult movie scared parent would not allow see movie. however coming home felt very guilty done.,sad,isear
happened went visit friend chelston found screwing girlfriend.,angry,isear
"curious went spiritism session friend. already time many time younger day, even believe spiritism terribly afraid something would happen sort incorporation ! .",anxious,isear
first examn.,anxious,isear
"one fellow student bunked field work attempt cover exposed, though not directly. meet field work suprevisor afraid consequences.",anxious,isear
age 12 so stole ranger's fruit tree apple. eventually compelled confess dostoersky would like .,sad,isear
"native place riding cycle, not lights, night so police man caught me. requested let go would not so minute escaped.",sad,isear
learnt accepted unza.,joyful,isear
"dog, eleven years, died. watched soporification.",sad,isear
"friend seen years, sent small present.",joyful,isear
friend died.,sad,isear
finish big amount homework time.,angry,isear
friend's place lunch fell ill vomited.,angry,isear
classroom discussed teacher. told thing affected directly negative way job behavior classroom front pupils.,sad,isear
brother accused undeservedly parents. not guilty. misled wife.,angry,isear
heard uncle passed away road traffic accident.,sad,isear
roommate's lack consideration me.,angry,isear
sight man ran amok fighting dance.,angry,isear
boy deliberately played trick experiments.,angry,isear
got separated first love.,sad,isear
work happened fight person charge me. got so angry spoke everything felt moment.,angry,isear
"arranged holiday paris, girlfriend raised criticism time.",angry,isear
"father very angry me, locked shower. father knocked fist door, scared death.",anxious,isear
"natural parent name would show paper not my, call real name.",sad,isear
"read national social spirit self discipline people developed coutries like u.s.a, england, france, germany etc. comparing indian people felt guilty no national spirit self discipline.",sad,isear
motor accident frong seat passenger spit blood.,anxious,isear
party met old friend adult education course. not met 2 year thought lot other. wonderful experience.,joyful,isear
friend girl promised help go hospital examined good expert deceived me.,angry,isear
"mother found leaf diary written mother's lack education, especially poor arithmetical insight.",sad,isear
"last week former school secondary mate mine, differentt school came room unza absence. drunk vomited room. unhappy.",angry,isear
insulted bus.,angry,isear
"leave den helder friend acquaintences, spend two week friends.",sad,isear
talking aunt mine adore found courage say love came shame.,sad,isear
outrageous conduct relative towards close me. blaming u lying,angry,isear
"school, room audiovisual classes. watching film, behind two classmate bothering mocking shoves. reacted angrily suppose hitting one them.",angry,isear
young got lost street police found day.,anxious,isear
one night bike home alone party. found pursued man car.,anxious,isear
"event described fear bus man sat beside me, trouser open holding penis.",angry,isear
lecture six student including asked leave class not prepared lesson. felt ashamed angry.,sad,isear
"social occasion, noticed reacted basis autonomous nerve system could not help .",sad,isear
learnt cousin sister pregnant.,angry,isear
noticed parent not prosperity people surroundings.,sad,isear
heard got best result school would definately selected university zambia.,joyful,isear
saw programme tv describing certain wild life film made disgusted treatment certain animal particular programme polar bear.,angry,isear
