emotion,user_message,assistant_reply,bad_reply,self_focused,empathetic
disappointed,One of my friend didn't keep this promise he made to me. I was so angry to him.,What promise didn't he keep?,False,False,True
disappointed,I was suppose to help me move from my apartment. He didn't come and turned off his cell phone.,Wow that sounds like a terrible friend. I hope he had a good reason for not showing up.,False,False,True
faithful,There were times where I was being seduced by a coworker of mine as a married man.,Wow. Did he have kids?,False,False,True
caring,"I am an English Tutor for Chinese students, when they struggle with a topic, I always take extra time to help them along and make sure they understand","That is very inspiring, I'm glad you take the extra time. Do you like doing what you do?",False,False,True
grateful,One time I had a flat tire and my dad came to help me fix it.,Oh no! Glad your dad was able to help. How did it happen?,False,False,True
excited,When I was a little child my parents told me that we were going to the amusement park and it made me so happy,I bet! That sounds like fun.,False,False,True
excited,What sweet memories to hold on to.,Have you ever been to the amusement park?,False,False,True
excited,"My wife and I decided to go on an iternational trip last year, and it was my first trip out of the US. It was an amazing experience, and one of the best and most memorable things I've ever done.",That's awesome! How helpful where the other people so that you could enjoy your trip?,False,False,True
excited,"My wife was amazing. She booked the whole trip for us, and planned out some things for us to do while we were there. The person's house we stayed at was also really great, and helped us find our way around Auckland.",Must have been super fun. How were the local people? How did they treat you?,False,False,True
afraid,I felt afraid. Still i remember it,What were you afraid of?,False,False,True
annoyed,We have a new manager at work and it isnt going well.,what is your job position?,False,False,True
trusting,You are never going to believe what I did,What did you do?,False,False,True
trusting,"Well, I normally do not feel comfortable lending things to my friends, but recently I mustered up the trust to loan my friend my vehicle.",Ouch... Is it just for a day? Is your friend a safe driver?,False,False,True
angry,So our new manager has changed our bonus structure causing us to never hit bonus..,And then what?,False,False,True
angry,Its frustrating when I go from 24 an hour to 10 an hour because of his lies.,"I understand, that must suck",False,False,True
sad,"I had a chance to make some money, but my phone screwed up",Thats terrible... have you gotten a new phone yet?,False,False,True
anticipating,Last year I was so excited to be moving.,"oh well, where did you move?",False,False,True
nostalgic,I was having a bad day the other day but my spouse went and surprised me with my favorite food.,whats your favorite food? that was very nice of them,False,False,True
joyful,"My daughter, Brooklyn, has finally overcame her fear of water and learned to swim! It makes me so happy to see her loving the water.",Thats so special! What a beautiful moment.. How old is she?,False,False,True
afraid,"Hi, I am concerned about the financial situation of my employer.",Have you thought about talking to your boss about it?,False,False,True
angry,So I am home from work and Marks car was outside. I went in and him and Liz were kissing on the couch.,This is terrible. So sad to hear that. What did you do then?,False,False,True
angry,I made them both leave but me and Liz are breaking up.,Did she already move out?,False,False,True
anxious,Did you go outside and see if anyone was hurt?,What do you mean? I don't know what you are talking about.,False,False,True
hopeful,My marriage give me hopefulness about the life. exactly I want to say is may not it's marriage actually it's my wife given me the hope about the life.,"Wao, that sound like a great strong realtionship you have with her, so glad to hear that!",False,False,True
hopeful,"Wao, that sound like a great strong realtionship you have with her, so glad to hear that!","Yeah, thank you! at which situation did you feel hope for your life?",False,False,True
furious,"My handyman keeps telling me he's coming by to fix my leaky sink, but he never shows up when he says he will, ugh.",That is seriously the worst... waiting around all day wondering whats going on! Have you tried calling him today?,False,False,True
confident,It was amazing sitting on the stage in that hug auditorium.,What event was taking place?,False,False,True
confident,Music. Some of the hardest music that professionals play.,That's cool you were on stage for that. Were you one of the musicians?,False,False,True
content,I am satisfied to have a good vacation,Oh yeah what are you doing for your vacation?,False,False,True
content,Nothing special. I just travel to my familly. It has been almost a year that I didn't see them.,Sounds rather special to me! Out of the country or to another state?,False,False,True
proud,So the other day my daughter went potty for the first time on her own!,That is great. It is sweet to see them grow and learn. How old is she?,False,False,True
impressed,The other day after dinner my daughter took her trash to the trash on her own. I love watching her develop!,It is so sweet. Is she able to talk?,False,False,True
furious,i am angry against a friend that suppose to help me.,That sucks... what was he or she supposed to help you with?,False,False,True
prepared,I traveled a few months ago and didnt realize how much planning is involved! Wow it was a lot to get ready for...,Traveling is hard work. Where did you go?,False,False,True
trusting,I have a small circle of friends. They are like my family.,"Thats awesome, friends really can be the best. How long have you known them?",False,False,True
afraid,So we had a meeting at work this week. Turns out we may have to shut down in the next few months.,Omg... thats terrible! Im so sorry - Ive been through similar. Are they going to give you some sort of money upon lay off?,False,False,True
surprised,"The other day I got a bonus from work, which was amazing because i have recently got behind in bills.",That is really cool! Did they tell you why they were giving you the bonus?,False,False,True
furious,I am afraid my neighbors are causing snakes to come over my way.,What are they doing to cause you to think that?,False,False,True
anxious,Today is my birthday! I am 34!,Happy Birthday!!!! What are you going to do for it?,False,False,True
angry,me too.. i really was freaking out.,what did the landlor do about it? Did you have to call an exterminator?,False,False,True
disappointed,I was disappointed by my manager when he told that I will probably get my promotion next year (not this year),Ugh.. that seems like forever away.. can you try to get it sooner?,False,False,True
disappointed,"No, I tried everything. It is like betrayed me.",Maybe consider looking for a new job in the meantime? Never hurts to stay ahead..,False,False,True
excited,I get to go to the water park today! I cant wait.,That is nice. I like going to water park. What time are you going?,False,False,True
excited,"Its so much fun, really pretty down there too. Oh in a few hours!",Is it a big water park?,False,False,True
embarrassed,I went out last weekend and had a major accident. Guess what happened...,"Are you ok, you have to tell me what happened.",False,False,True
hopeful,My house feels like its taking forever to sell...but I have a feeling something good is going to come soon!,How long have you been trying to sell it for?,False,False,True
hopeful,I have been going to school for whar seems like forever.,Did you wait a lot?,False,False,True
caring,"My daughter fell the other day pretty hard, I had to hold her until she calmed down.","Oh no, that's scary, is she okay?",False,False,True
caring,"Yeah it wasnt too bad just a couple scrapes, its hard seeing your kids get hurt.","That's good, I'm glad it wasn't serious.",False,False,True
annoyed,I really dislike my neighbors. They are the worst.,What are they doing that is upsetting you?,False,False,True
annoyed,They argue constantly and we live in apartments so I can hear everything. They even call the police a lot.,Have you made a formal complaint against them yet?,False,False,True
furious,So last Friday I was driving home from work and this guy just cuts me off in traffic.,That happens a lot. What happened next?,False,False,True
afraid,Thank god! LOL I was like please tell me this was a positive experience...,"Wasn't worth taking the chance to find out on that one haha. But it could've gotten bad, but I'm glad there were lots of cars passing by at the time.",False,False,True
hopeful,"So this is going to sound crazy but, one day I am going to win the lottery.",That would pretty amazing. What will you do with the winning?,False,False,True
hopeful,That would pretty amazing. What will you do with the winning?,"Pay off my debts from moving number 1, and then buy a house! What would you do with the money?",False,False,True
terrified,"That's awful, I'm sorry to hear that. I lost my job once as well and times got really hard. What kind of stuff are you doing to try and avoid that outcome?",Thank you. I've been working odd and ends and am looking for a job that pays more of course. How did you overcome that time?,False,False,True
excited,Today is my birthday!,HAPPY BIRTHDAY! Do you have any plans for today?,False,False,True
excited,Still recovering from a road trip but hopefully things will get exciting this weekend!,"That is really cool, Where did you guys on your trip?",False,False,True
ashamed,I told her I had to go out of town and instead I just stayed home all day.,Lol. Why didnt' you just reschedule?,False,False,True
apprehensive,Recently someone offered me an extreme amount of money for a work at home job...,wow! That's awesome! Did you accept the job offer?,False,False,True
apprehensive,It sounded too good to be true honestly it made me feel a little uneasy... i had to turn it down!,"yes, i understand. sometimes you just get a gut feeling that something isn't right",False,False,True
surprised,so i applied for 200+ jobs and i can't believe i didn't hear from none of them!,Bummer!!! Are you looking for a work at home job or just an outside job?,False,False,True
lonely,I have lived in my apartment for 5 years now.,"O wow that is a long time, Are you happy with it?",False,False,True
disgusted,"so i saw a snake outside my apartment today, i hate snakes, so disgusting eww",I would have went running like forest gump - what did you do?,False,False,True
sad,So they just posted online about how they are not making a sequel to Hot Fuzz.,Oh no. Did they say why?,False,False,True
proud,I was able to save a blind lady from falling down an escalator.,Is she ok? Im glad you were close by!,False,False,True
proud,"She was very alarmed and rightfully so. I'm usually not a nice person, but I'm glad I did the right thing that time!","That is really cool of you to do, Did anyone else see it happen?",False,False,True
proud,Is she ok? Im glad you were close by!,"She was very alarmed and rightfully so. I'm usually not a nice person, but I'm glad I did the right thing that time!",False,False,True
furious,It seems like it doesnt it.. i hope it gets better.,"I hope so, too. Have you considered working elsewhere?",False,False,True
ashamed,"I was mowing the lawn, and a rock flew and broke my neighbor's window.",Oh no... were they relaxed about it or did it cause a problem?,False,False,True
ashamed,Oh no... were they relaxed about it or did it cause a problem?,"They didn't even know what happened, but I got myself to let them know although I was terribly scared of the expenses.",False,False,True
confident,I hadn't worn a bathing suit in maybe 5 uears until recently.,Why is that?,False,False,True
confident,I have one now. I saw a bunch of ladies strutting in their suits and iy boosted my confidence. I had a ball at the beach the next day.,That's good to hear. Where did you get it from?,False,False,True
guilty,I wish I could work less.. i feel so bad that i dont get to spend as much time with my daughter.,I hear ya. Anyway to get a new job?,False,False,True
guilty,Ive been trying what I really need is a higher paid one so that way I dont have to work 2 jobs.,Got ya. What kind of work do you currently do?,False,False,True
disgusted,"My friend called someone a bad name, he really mad me upset.",I dont like rude people either did you tell him?,False,False,True
annoyed,My fence is collapsing at areas where my neighbors keep climbing over to get their ball. It's going to be expensive to fix.,Oh yeah I am sure it is.. have you talked to them about paying for it?,False,False,True
anxious,I cant wait to relocate and move again. I am so ready.,Wow! Have you been to many places?,False,False,True
anxious,Wow! Have you been to many places?,"New York, VA, FL... how about you?",False,False,True
surprised,MY brothers are the same way. At least yours ginally came around.,haha siblings! How many brothers do you have?,False,False,True
disappointed,Today is my birthday and I got a call yesterday wishing me a happy birthfay from my ex.,Happy Birthday! Is the call from the ex a good or bad thing?,False,False,True
nostalgic,My old high school is being sold and turned into an old people's apartment complex. Sad to see it go.,Nostalgia. Is there another HS nearby for the kids to go to?,False,False,True
grateful,It was my birthday and my mother came to surprise me.,"Aw thats so nice, how did she surprise you?",False,False,True
devastated,I still remember the day i had to say goodbye to my dad. :(,Thats too bad. What happened?,False,False,True
joyful,Today is my birthday! I think tonight we are all going out.,Awesome! Happy Birthday to you! Where are you going?,False,False,True
prepared,It was insane getting ready for hurricane IRMA to hit last year....,Did you get hit my it? I bet that was scary.,False,False,True
impressed,Wow that's awesome. I went back at 31. Still going.,Yea. She's a pretty amazing lady to do that and inspirational of course. What are you in school for?,False,False,True
sad,It makes me sad to be single nowadays.,Did you go through a breakup recently?,False,False,True
faithful,My friend's boyfriend got into an accident 5 years ago. She's still with him.,What happened to him? How are they doing?,False,False,True
afraid,So last night a cop pulled me over.,Oh man. What happened?,False,False,True
afraid,He said I was speeding but I was really nervous.,Did you end up getting a ticket?,False,False,True
anxious,I am so impatient right now... waiting for the clock to hit 5 so I can go on vacation!,How many hours do you have left?,False,False,True
anxious,4 hours to go! ahhh,haha not bad! where are you going on vacation?,False,False,True
confident,So my boss sent me over to close the deal with the Mr Harris. I felt so happy closeing a big client like that.,"Thats great, was the result good?",False,False,True
confident,He signed right away and we had a drink to celebrate.,That's great. How happy were you?,False,False,True
afraid,I was in the woods and a snake came out of no where.,Did it bite you? Are you ok?,False,False,True
proud,My mom went back to school at 63 and recently got her bachelor's in computer science!,"Wow That's amazing. You must be very proud of her. I think coding, etc, seems very hard.",False,False,True
grateful,"I finally finished my Phlebotomy class . It was an hour's drive one way, but thankfully it's over and a hospital nearby is hiring I heard. Whew!",That's amazing! How do you anticipate dealing with people who are afraid of needles?,False,False,True
anticipating,Thank you. I did actually. The recruiter sounded pretty positive on the phone.,That's great. Would this be a good job?,False,False,True
sad,It is. I've been absorbed in work for the last 3 years and haven't gone out. So I guess everyone kinda moved on without me.,Did he ditch you as well? And how did the girlfriend react?,False,False,True
surprised,"For my 30th birthday, my family and friends got together and threw me a surprise birthday party.",Very nice! Where was the party?,False,False,True
faithful,A friend tried to get me to go out to a bar and hang out behind my spouses back...,Did you tell your spouse? I really think they should know.,False,False,True
sad,I had to put my dog to sleep and it was super stressing! :(,oh no. I'm sorry to hear that.,False,False,True
sad,oh no. I'm sorry to hear that.,"Thanks, it always sucks when you have to say goodbye.. but shes better off now without pain. Do you have any pets?",False,False,True
hopeful,I think I found someone that's interested in my house finally . It's been on the market for over a year now.,That can be stressful. I hope you get the sale. What will you do afterwards?,False,False,True
hopeful,I will move to a less rural area. It's very isolated and you have to have a vehicle for transportation.,Do you prefer the isolation?,False,False,True
excited,I'll get to go on vacation tomorrow. Been working really hard to get things clear up so I can enjoy myself.,Awesome! Where are you headed to?,False,False,True
excited,Japan! Looking forward to the food.,OMG!!!!! That sounds amazing! Its going to be epic. I hope you have a great time.,False,False,True
caring,Recently I offered to start working extra long hours just to help support my family more.,That's really considerate of you. Do they need your help a lot?,False,False,True
embarrassed,I filled an entire cart with food for a party and then realized I had forgot me purse at home.,Oh no. Did you end up having to leave the cart?,False,False,True
anticipating,"I cant wait to buy my christmas tree this year, lol.. funny right? ...but I am actually really excited.",Do you usually get a live one ?,False,False,True
anticipating,Do you usually get a live one ?,"I thought about it, but dont think I could handle one. Do you have one?",False,False,True
nostalgic,I visited my old home town recently and it has gone down hill so much. A lot of the houses are run down and dilapidated. So sad.,That sucks..... always bad to see something like that. Did you atleast enjoy your trip?,False,False,True
proud,I was more afraid than she was. It was a big transistion. All girls and she is 13.,"I could understand that, Does she know anyone at her new school?",False,False,True
jealous,So Bob got the promotion at work even though I put in all those hours.,That's gotta be terrible. Why did they pick him instead of you?,False,False,True
caring,My neighbor's kid just lost his eyesight. The whole family is devastated.,O im sorry to hear that! How did it happen?,False,False,True
caring,"His vision was gradually getting worse. Suddenly, his vision got really blurry one day and they called emergency.",Does he not have a chance to regain his eyesite?,False,False,True
sentimental,I once went to see fireworks with my best friend. Best day of my life. We're no longer friends.,What a beautiful memory that you will always have though... have you tried to be friends again?,False,False,True
furious,"My child went out behind my back, and snuck out!",Oh no. Guess they have finally reached that rebellious age. What did you do?,False,False,True
afraid,One time there was a large mouse in my kitchen.,What did you do with it? Did you try to kill it?,False,False,True
afraid,I closed the door and put a towel under it. IT was late so i couldn't call maintenence til thehmorning.,Thats what I would have done. Did they get it taken care of?,False,False,True
afraid,I think our job might be laying us off.,O No! Are they going to offer you any kind of package?,False,False,True
proud,So after a year of being here we finally got to rearrange the garage.,How is it looking?,False,False,True
sad,So my cat of 10 years past away last night. I dont know what to do,oh no. I'm sorry to hear that.,False,False,True
sad,oh no. I'm sorry to hear that.,He is really old but I hate that it happened you know?,False,False,True
sad,So I lost my wallet and had to get a new ID issued to me.,I hope someone turns it in soon to you.. did you lose out on money too?,False,False,True
excited,Im going to my first concert this weekend. Yesssssss!,Did you buy tickets or win them?,False,False,True
excited,Did you buy tickets or win them?,"I bought them, woulda been cool to win them though right? lol",False,False,True
excited,When the Falcons won the game I was excited.,What game did they win?,False,False,True
excited,The NFC championship.,Really? I don't recall that at all. I remember them choking. I could be wrong.,False,False,True
afraid,There was a big storm here last week.,That sucks. Are you ok?,False,False,True
afraid,"The power went out for about 15 and scared the crap out of me, but other than that we were fine.",Thats good. Did the clocks all reset?,False,False,True
impressed,I was impressed with the new Tesla that I test drove.,"I bet that was rather fun, how fast did you get it going?",False,False,True
lonely,I should really try to get a girlfriend or something. I just need to feel someone.,Try online dating! Its actually really fun... have you tried it?,False,False,True
afraid,The other day during breakfast my daughter started choking and I panicked.,Were you able to get her help in time! How is she doing?,False,False,True
prepared,It was for science but I had notes i had brought.,Thats not right. How did you feel?,False,False,True
prepared,No we are allowed to bring notes it was just a surprise test. I felt happy about being able to bring mine.,That's good. How did you do?,False,False,True
sad,My grandma died. I am so sad.,Im sorry to hear that. Was it from age or complications?,False,False,True
sad,Age but she also smoked.,Yeah that is not good. But everyone does have a time to go you know?,False,False,True
afraid,I use to hate the dark when I was little.,were you afraid of the dark?,False,False,True
impressed,So I was at cheeleading last night and this girl did a double backflip!,Did she land?,False,False,True
impressed,Yeah! It was just really fast and she went up really high!,Sweet. Did the crowd cheer?,False,False,True
surprised,I got into Harvard. Can you believe it?,Wow that is great! When are you going to start?,False,False,True
surprised,In the Fall.,That is really great! How does that make you feel?,False,False,True
annoyed,it annoys me that my wife keeps giving our son a stick even though he hurts himself every single time,Why don't you say something?,False,False,True
terrified,I took a trip over the weekend where we stayed at a nice hotel with a balcony overlooking the pool.,That sounds really nice! Did you stay near the ocean?,False,False,True
surprised,When I got in my car to go to work I notcied a note on my seat.,What did it say?,False,False,True
ashamed,I would but I will get in trouble.,i understand. maybe next time you shouldn't cheay,False,False,True
embarrassed,It was a heated ppol so that was nice. But when I jumped in some of may hair extension came out!,Thats funny. Did you get them all?,False,False,True
angry,My apartment is right near the dumpster for our commplex.,"That is terrible, does it smell?",False,False,True
annoyed,My friend is so annoying.,what did he do?,False,False,True
joyful,I won't tell anyone.,How old is your son now?,False,False,True
confident,So I went to pick up Lucy last night for our date. I was very polite and nice.,Where did you meet her?,False,False,True
confident,We meet online on a dating site. I was nervous but I did not let it show and took charge.,Thats cool. Will you see her again?,False,False,True
surprised,Got asked to my boss' office. Thought I was getting bad news but turns out I was offered a promotion.,Nice. Did you take it?,False,False,True
surprised,I definitely did!,Nice did you take it?,False,False,True
hopeful,Lol. There is no joy here. But I think the only way to go is up now.,That's always the positive side of hitting rock bottom right?,False,False,True
guilty,13. I ate her dinner yesterday because she just refused to get up. I feel bad about it now,That's kind of funny though. How did she react?,False,False,True
ashamed,I lied to the police. I am ashamed.,You should never lie to them. What did you say?,False,False,True
ashamed,I said I did not know where my friend was.,Did your friend do something bad? Why were they looking for them,False,False,True
excited,I got tickets to go to the Amusment park this weekend.,Nice. Which one?,False,False,True
sentimental,Went to the beach the other day and remember how much my friend liked going together.,"oh, did you enjoy it? I love going to the beach",False,False,True
disgusted,I tried to catch a criminal but he got away.,Did he have a weapon?,False,False,True
disgusted,Yes but only a small knife.,What were you gonna do if you caught him?,False,False,True
embarrassed,I forget the lines in the school play. I was so embarrassed.,Oh no! Were there a lot of lines you had to remember?,False,False,True
grateful,I got stock from family a long time ago. I just let it sit there. It's risen 10 times since.,Wow! Have you looked to see how much it is worth? You could have some money.,False,False,True
embarrassed,"So last night at work I lost my keys, I search the office for like 30 minutes.",Did you find it?,False,False,True
hopeful,"I just applied for a promotion, and I should earn at least 10k more.",That's awesome. Do you think you will get it?,False,False,True
hopeful,I hope so! It will help finances a lot.,"Yes, definitely. Do you plan on buying anything new?",False,False,True
nostalgic,Last time I was at my parent's house I went through some old photo albums and started reminiscing.,What did you think about?,False,False,True
nostalgic,I just thought about how easy and carefree life was when I was a child. I was never alone and always had something to do.,glad to hear you had such a carefree childhood. do you have siblings?,False,False,True
disappointed,I love that show. I'm sad it is ending. It should stay on forever.,What? It's ending? I heard he hasn't yet finished the books.,False,False,True
nostalgic,I havent been back yet but maybe I will in the winter so I can experience the snow again.,Where is rou hometown?,False,False,True
anxious,My friend is having a drink and paint party for her birthday tomorrow.,I bet you are excited... are you bringing anything over with you?,False,False,True
jealous,I wish I was The Rock.,What kind of rock would you want to be?,False,False,True
proud,My son was prett slow to start speaking.,/Did you get him a teacher?,False,False,True
surprised,I was surprised when Trump won the election.,You? I thought I was dreaming,False,False,True
prepared,I was prepared for my History test due to studying.,Was your history test hard even after all the studying?,False,False,True
prepared,Yes but I was prepared.,"That's good, did you end up passing then?",False,False,True
excited,I just got off the phone with one of my old buddies that I met for the first time in years yesterday and we are gonna go hang out sometime on Sunday! It just makes me really happy to think that we are reconnecting.,Thats great. Where did you meet?,False,False,True
excited,"We met yesterday at this restaurant and just had some good conversation, ate some food, and caught up with each other's lives.",What did you eat?,False,False,True
devastated,I can't believe the Falcons blew the Super Bowl. I was there.,"Oh you were? I really am not a huge sports fan, so what was so big about this?",False,False,True
devastated,It had never happened before.,"Never once? Damn, no wonder you were so shocked by it!",False,False,True
excited,"I love football, are you ready for the season?","Yes, when does the season start?",False,False,True
excited,"August, Can't wait.","That's exciting, who's your favorite team?",False,False,True
apprehensive,I was apprehensive to get married.,Do you regret it now that you are?,False,False,True
apprehensive,"No, but I am still worried.",Why are you worried still?,False,False,True
anxious,"I know it seems late, but I'm 19 and I went on my first date only about one month ago.",How was it?,False,False,True
excited,"I love hockey, are you ready for the season?","I am, I like the Oilers, who's your favorite team?",False,False,True
grateful,I think I have some pretty decent kids. May be too soon to tell though.,"Oh, all kids are a little iffy, I think. Are you a teacher or do you mean your own children?",False,False,True
grateful,"My transmission went out in my car at the worst possible time. No way could I afford to get it replaced or rebuilt. My dad was able to loan me $500 to get the new transmission, and my step dad was able to put it in.",So is it working now? I need atransmission for an old volvo. I'm saving for a new car instead.,False,False,True
apprehensive,Had HELLP syndrom with first child. Spent all 9 months being pregnant with 2nd child worrying about the same thing happening.,What is HELLP? I'm sorry you and your baby had to go through that.,False,False,True
jealous,MY car has been down for about a month. Every time I leave the house I see all brand new cars.,I absolutely hate car issues. Will you be getting it fixed or buying another one?,False,False,True
jealous,I'm saving for a new one. I didn't even have it a year.,Did it have any warranty when you bought it?,False,False,True
lonely,I am always alone in the summer.,Why are you alone so much in the summer?,False,False,True
lonely,My wife goes to Canada to visit her mom.,Do you have friends around? Go to a bar and meet some friends!,False,False,True
nostalgic,I was feeling really ambitious the other day and I decided to drive into the parking lot of my old elementary school just to see all the things I used to see years ago.,Was it as you remembered it?,False,False,True
impressed,I really like the new football coach.,"I like football, who are you talking about? what team?",False,False,True
impressed,The Falcons and their new defensive coach.,Oh i see! are you excited with him? do you think they can go for the super bowl?,False,False,True
proud,I am so proud to be an American.,I know that feeling! Are you involved in any political or activists groups?,False,False,True
guilty,I feel bad I stole a cookie from the cookie jar.,oh no. Did you get rid of the evidence?,False,False,True
guilty,Yes. I ate it quick.,who's cookies were they?,False,False,True
joyful,I had been doing poorly in college for a while.,Do you study?,False,False,True
joyful,"I do now. I passed all of my classes last semester, so I think I;m back on track.",Thats good. Where do you go?,False,False,True
angry,I recently had a court date for child support.,"Yikes, that must of been a bit scary. How did it go?",False,False,True
content,I am ok with being fat.,"It shouldn't matter what you look like, but why would you think you are fat?",False,False,True
surprised,I can't believe it hasn't rained today.,"Yes, so are you having nice weather,or is it too dry and need some rain?",False,False,True
surprised,Yes we need rain.,"I see. Well, maybe the weather is calling for some in the near future? I like sunshine, but know we need some rain too, hope you get some soon.",False,False,True
terrified,We have had some big rain storms this spring and summer. The creek behind my house got in my yard twice. Very scary.,"oh no! that's scary! The house didn't get flooded, right?",False,False,True
furious,"Ugh I was so mad the other day, I went to the store and was grocery shopping. When I came out, I noticed my car was very scratched on the back bumper. I was so furious and angry, and I still am.",That's actually so frustrating! No note left on your car or anything from the other driver?,False,False,True
sad,"I'm still kinda bummed about this, but like a month or more back I was really into this girl from Tinder and we started dating too. Unfortunately, after like 4 or 5 days, she said she wanted to stop dating and hasn't spoken to me since.","Oh no, that really sucks. That's awful that she wanted to end things, especially since you were really into her. I am sorry.",False,False,True
confident,We had a really good time on our vacation a couple of weeks ago.,Thats sound nice. I went on vacation to Thailand last week. What did you do?,False,False,True
annoyed,It was a really bad experience. Especially since I wasted all the ingredients!,"Oh no, was it an important meal?",False,False,True
annoyed,"Yes, it was my nephew's birthday party pizza. And I promised him I would make his favorite pepperoni pizza!",That's so sad! What did you end up doing instead?,False,False,True
annoyed,"We had to order from a fast food chain! It wasn't bad, but fair to say, my nephew was disappointed in me.",What went wrong with the pizza you were trying to make?,False,False,True
terrified,I was very afraid in airplane because of severe turbulence.,Yes airplanes make me feel queasy too. What do you do to cope with it?,False,False,True
guilty,"It is something that was really important to her, and I still feel bad that I missed her 15th birthday",Who is she?,False,False,True
guilty,"My cousin, she really wanted me to attend her party since she enjoys my cooking and I had planned on making cookies",That is bad. Did you bought her a good present so she can forget about it?,False,False,True
afraid,"Hi! One time when driving on fresh snow I almost wiped out into a ditch, that scared me",That does sound scary! Were you okay?,False,False,True
impressed,"My brother applied for an Ivy League school this year, and we just found out he was accepted!","Nice, I am glad to hear about that",False,False,True
impressed,"Yeah, it was vey exciting news, I'm so proud of him.",How old is he?,False,False,True
sad,"I am trying to sell my house for 89k dollars, I have been in a bad financial situation, my nephew knows it, and now he is trying to buy my house just for 75k, trying to take advance of my situation","Wow, that's terrible. Why would he do that to you?",False,False,True
sad,That's just terrible. Some people really are ungrateful.,"I know, right? My own nephew trying to do this with me",False,False,True
afraid,"I was chased by a pitbull as a child, I was so scared for years afterwards","that is so scary! you didn't get hurt, right?",False,False,True
embarrassed,"I slipped while carrying a tray of coffee at work the other day, got it all over me.","Oh no, sorry to hear that! Were you okay?",False,False,True
surprised,"my parents picked me up from work in a new car for me when I turned 17, I was so surprised",Did this make you excited?,False,False,True
surprised,"I was very excited, just to have a car at all is awesome!",What type of car was it?,False,False,True
embarrassed,"When I was in preschool, my pants fell down in front of everyone","That sounds embarrassing, what happened after?",False,False,True
embarrassed,I got laughed at a lot and sat down haha,That sounds like what I would have done too,False,False,True
terrified,When I was younger my dad scared me and my brothers so bad I almost peed myself!,What a Jerk. Did you let him know he was being rude?,False,False,True
terrified,When I was younger my dad scared me and my brothers so bad I almost peed myself!,hat a Jerk. Did you let him know he was being rude?,False,False,True
